Method list (CPU)

+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------+-----------------+------------------+-----------------+--------------+
|                                                                                   Method                                                                                   |    Time (ms)    |  Avg. Time (ms)  |  Own Time (ms)  |    Count     |
|  java.util.jar.JarFile.hasClassPathAttribute() JarFile.java                                                                                                                |        2    0%  |               1  |          < 0.1  |           2  |
|  java.util.zip.ZipFile.getEntry(String) ZipFile.java                                                                                                                       |        2    0%  |           < 0.1  |            0.2  |          79  |
|  sun.management.MappedMXBeanType$CompositeDataMXBeanType.<init>(Class) MappedMXBeanType.java                                                                               |        2    0%  |               2  |            0.4  |           1  |
|  sun.management.LazyCompositeData.lambda$isTypeMatched$0(CompositeType, CompositeType, String) LazyCompositeData.java                                                      |        2    0%  |           < 0.1  |            0.3  |         128  |
|  java.util.jar.JarFile.getBytes(ZipEntry) JarFile.java                                                                                                                     |        2    0%  |               2  |          < 0.1  |           1  |
|  java.util.TreeMap.successor(TreeMap$Entry) TreeMap.java                                                                                                                   |        2    0%  |               0  |              2  |       3,496  |
|  javax.management.openmbean.TabularDataSupport.internalCalculateIndex(CompositeData) TabularDataSupport.java                                                               |        2    0%  |           < 0.1  |            0.7  |         128  |
|  java.util.TreeMap.addEntry(Object, Object, TreeMap$Entry, boolean) TreeMap.java                                                                                           |        2    0%  |           < 0.1  |              1  |         626  |
|  java.io.FileOutputStream.write(byte[], int, int) FileOutputStream.java                                                                                                    |        2    0%  |             0.1  |              1  |          14  |
|  java.lang.invoke.StringConcatFactory.prepender(String, Class, String, Class) StringConcatFactory.java                                                                     |        1    0%  |             0.4  |              1  |           4  |
|  java.util.TreeMap$KeyIterator.<init>(TreeMap, TreeMap$Entry) TreeMap.java                                                                                                 |        1    0%  |           < 0.1  |              1  |       1,024  |
|  java.util.zip.ZipFile$ZipFileInflaterInputStream.<init>(ZipFile, ZipFile$ZipFileInputStream, ZipFile$CleanableResource, int) ZipFile.java                                 |        1    0%  |           < 0.1  |            0.1  |          41  |
|  sun.reflect.generics.repository.GenericDeclRepository.<init>(String, GenericsFactory) GenericDeclRepository.java                                                          |        1    0%  |             0.6  |          < 0.1  |           3  |
|  sun.reflect.generics.repository.AbstractRepository.<init>(String, GenericsFactory) AbstractRepository.java                                                                |        1    0%  |             0.6  |          < 0.1  |           3  |
|  jdk.internal.loader.URLClassPath$JarLoader$2.getManifest() URLClassPath.java                                                                                              |        1    0%  |           < 0.1  |          < 0.1  |          22  |
|  sun.reflect.generics.parser.SignatureParser.parseClassTypeSignature() SignatureParser.java                                                                                |        1    0%  |             0.1  |            0.1  |          13  |
|  javax.management.openmbean.TabularType.isValue(Object) TabularType.java                                                                                                   |        1    0%  |             0.1  |          < 0.1  |          16  |
|  jdk.internal.loader.Resource.getByteBuffer() Resource.java                                                                                                                |        1    0%  |           < 0.1  |            0.1  |          39  |
|  sun.management.LazyCompositeData.isTypeMatched(OpenType, OpenType) LazyCompositeData.java                                                                                 |        1    0%  |           < 0.1  |            0.1  |         128  |
|  java.util.jar.JarFile.getManifest() JarFile.java                                                                                                                          |        1    0%  |           < 0.1  |          < 0.1  |          22  |
|  java.util.Collections$UnmodifiableList.hashCode() Collections.java                                                                                                        |        1    0%  |           < 0.1  |            0.8  |         240  |
|  java.util.jar.JarFile.getManifestFromReference() JarFile.java                                                                                                             |        1    0%  |           < 0.1  |            0.7  |          22  |
|  sun.nio.fs.UnixNativeDispatcher.<clinit>() UnixNativeDispatcher.java                                                                                                      |        1    0%  |               1  |          < 0.1  |           1  |
|  sun.reflect.generics.parser.SignatureParser.parsePackageNameAndSimpleClassTypeSignature() SignatureParser.java                                                            |        1    0%  |             0.1  |            0.1  |          13  |
|  jdk.internal.misc.CarrierThreadLocal.get() CarrierThreadLocal.java                                                                                                        |        1    0%  |             0.1  |          < 0.1  |           8  |
|  jdk.internal.loader.Resource.cachedInputStream() Resource.java                                                                                                            |        1    0%  |           < 0.1  |          < 0.1  |          78  |
|  java.lang.ThreadLocal.getCarrierThreadLocal() ThreadLocal.java                                                                                                            |        1    0%  |             0.1  |          < 0.1  |           8  |
|  sun.nio.fs.NativeBuffers.getNativeBufferFromCache(int) NativeBuffers.java                                                                                                 |        1    0%  |             0.7  |          < 0.1  |           2  |
|  java.lang.ThreadLocal.get(Thread) ThreadLocal.java                                                                                                                        |        1    0%  |             0.1  |          < 0.1  |           8  |
|  java.io.RandomAccessFile.<init>(File, String) RandomAccessFile.java                                                                                                       |        1    0%  |             0.7  |          < 0.1  |           2  |
|  java.lang.ThreadLocal.setInitialValue(Thread) ThreadLocal.java                                                                                                            |        1    0%  |             0.7  |          < 0.1  |           2  |
|  java.io.RandomAccessFile.<init>(File, String, boolean) RandomAccessFile.java                                                                                              |        1    0%  |             0.7  |          < 0.1  |           2  |
|  java.util.zip.ZipFile$Source.readAt(byte[], int, int, long) ZipFile.java                                                                                                  |        1    0%  |           < 0.1  |            0.1  |          41  |
|  com.sun.management.internal.GcInfoCompositeData.validateCompositeData(CompositeData) GcInfoCompositeData.java                                                             |        1    0%  |             0.1  |          < 0.1  |           8  |
|  sun.reflect.generics.repository.MethodRepository.getReturnType() MethodRepository.java                                                                                    |        1    0%  |             0.7  |          < 0.1  |           2  |
|  com.sun.management.internal.GarbageCollectorExtImpl.getAllPoolNames() GarbageCollectorExtImpl.java                                                                        |        1    0%  |               1  |          < 0.1  |           1  |
|  sun.reflect.generics.repository.MethodRepository.computeReturnType() MethodRepository.java                                                                                |        1    0%  |             0.7  |          < 0.1  |           2  |
|  com.sun.management.internal.GcInfoCompositeData$1.run() GcInfoCompositeData.java                                                                                          |        1    0%  |             0.1  |          < 0.1  |           8  |
|  java.io.RandomAccessFile.open(String, int) RandomAccessFile.java                                                                                                          |        1    0%  |             0.7  |              1  |           2  |
|  sun.management.ManagementFactoryHelper.getAllMemoryPoolNames() ManagementFactoryHelper.java                                                                               |        1    0%  |               1  |            0.8  |           1  |
|  jdk.internal.loader.URLClassPath$JarLoader$2.getInputStream() URLClassPath.java                                                                                           |        1    0%  |           < 0.1  |          < 0.1  |          39  |
|  sun.reflect.generics.tree.ClassTypeSignature.accept(TypeTreeVisitor) ClassTypeSignature.java                                                                              |        1    0%  |             0.3  |          < 0.1  |           4  |
|  com.sun.management.internal.GcInfoCompositeData$1.run() GcInfoCompositeData.java                                                                                          |        1    0%  |             0.1  |            0.8  |           8  |
|  sun.reflect.generics.visitor.Reifier.visitClassTypeSignature(ClassTypeSignature) Reifier.java                                                                             |        1    0%  |             0.3  |          < 0.1  |           4  |
|  java.lang.invoke.StringConcatFactory.prepender(String, Class) StringConcatFactory.java                                                                                    |        1    0%  |             0.1  |            0.6  |          11  |
|  java.util.jar.JarFile.getInputStream(ZipEntry) JarFile.java                                                                                                               |        1    0%  |           < 0.1  |            0.1  |          39  |
|  java.util.zip.ZipFile.getZipEntry(String, int) ZipFile.java                                                                                                               |        1    0%  |           < 0.1  |            0.5  |          40  |
|  jdk.internal.loader.URLClassPath$FileLoader.getResource(String, boolean) URLClassPath.java                                                                                |        1    0%  |           < 0.1  |              1  |          39  |
|  java.util.zip.ZipFile$CleanableResource.getInflater() ZipFile.java                                                                                                        |        1    0%  |           < 0.1  |            0.7  |          41  |
|  jdk.internal.loader.URLClassPath$JarLoader.checkResource(String, boolean, JarEntry) URLClassPath.java                                                                     |        1    0%  |           < 0.1  |              1  |          39  |
|  sun.nio.fs.UnixNativeDispatcher.init() UnixNativeDispatcher.java (native)                                                                                                 |        1    0%  |               1  |              1  |           1  |
|  java.lang.invoke.BoundMethodHandle$Species_LL.copyWithExtendL(MethodType, LambdaForm, Object) java/lang/invoke/BoundMethodHandle$Species_LL                               |        1    0%  |             0.1  |          < 0.1  |           9  |
|  java.lang.invoke.StringConcatFactory.mixer(Class, Class, Class, Class) StringConcatFactory.java                                                                           |        1    0%  |               1  |            0.2  |           1  |
|  sun.management.MemoryUsageCompositeData.getInit(CompositeData) MemoryUsageCompositeData.java                                                                              |        1    0%  |           < 0.1  |            0.1  |         128  |
|  java.lang.invoke.BoundMethodHandle$Species_LLL.make(MethodType, LambdaForm, Object, Object, Object) java/lang/invoke/BoundMethodHandle$Species_LLL                        |        1    0%  |             0.1  |          < 0.1  |           9  |
|  sun.management.MemoryUsageCompositeData.getCommitted(CompositeData) MemoryUsageCompositeData.java                                                                         |        1    0%  |           < 0.1  |            0.2  |         128  |
|  sun.management.MemoryUsageCompositeData.getUsed(CompositeData) MemoryUsageCompositeData.java                                                                              |        1    0%  |           < 0.1  |            0.1  |         128  |
|  java.lang.invoke.BoundMethodHandle$Species_LLL.<init>(MethodType, LambdaForm, Object, Object, Object) java/lang/invoke/BoundMethodHandle$Species_LLL                      |        1    0%  |             0.1  |              1  |           9  |
|  Run.printTotal()                                                                                                                                                          |        1    0%  |               1  |          < 0.1  |           1  |
|  javax.management.openmbean.CompositeDataSupport.getAll(String[]) CompositeDataSupport.java                                                                                |        1    0%  |           < 0.1  |            0.2  |         128  |
|  sun.management.MemoryUsageCompositeData.getMax(CompositeData) MemoryUsageCompositeData.java                                                                               |        1    0%  |           < 0.1  |            0.1  |         128  |
|  sun.nio.fs.LinuxFileSystemProvider.getFileAttributeView(Path, Class, LinkOption[]) LinuxFileSystemProvider.java                                                           |        1    0%  |             0.5  |            0.1  |           2  |
|  sun.reflect.generics.factory.CoreReflectionFactory.makeParameterizedType(Type, Type[], Type) CoreReflectionFactory.java                                                   |        1    0%  |             0.5  |          < 0.1  |           2  |
|  java.lang.invoke.StringConcatFactory.mixer(Class, Class) StringConcatFactory.java                                                                                         |        1    0%  |             0.2  |            0.5  |           4  |
|  sun.reflect.generics.reflectiveObjects.ParameterizedTypeImpl.make(Class, Type[], Type) ParameterizedTypeImpl.java                                                         |        1    0%  |             0.5  |          < 0.1  |           2  |
|  jdk.internal.loader.URLClassPath$JarLoader.<clinit>() URLClassPath.java                                                                                                   |        1    0%  |               1  |            0.7  |           1  |
|  sun.reflect.generics.reflectiveObjects.ParameterizedTypeImpl.<init>(Class, Type[], Type) ParameterizedTypeImpl.java                                                       |        1    0%  |             0.5  |          < 0.1  |           2  |
|  sun.reflect.generics.reflectiveObjects.ParameterizedTypeImpl.validateConstructorArguments() ParameterizedTypeImpl.java                                                    |        1    0%  |             0.5  |          < 0.1  |           2  |
|  java.util.zip.Inflater.inflate(byte[], int, int) Inflater.java                                                                                                            |        1    0%  |           < 0.1  |            0.2  |          70  |
|  sun.reflect.generics.repository.ClassRepository.make(String, GenericsFactory) ClassRepository.java                                                                        |        1    0%  |               1  |          < 0.1  |           1  |
|  sun.reflect.generics.repository.ClassRepository.<init>(String, GenericsFactory) ClassRepository.java                                                                      |        1    0%  |               1  |          < 0.1  |           1  |
|  sun.reflect.generics.repository.ClassRepository.parse(String) ClassRepository.java                                                                                        |        1    0%  |               1  |          < 0.1  |           1  |
|  sun.reflect.generics.repository.ClassRepository.parse(String) ClassRepository.java                                                                                        |        1    0%  |               1  |          < 0.1  |           1  |
|  sun.reflect.generics.parser.SignatureParser.parseClassSig(String) SignatureParser.java                                                                                    |        1    0%  |               1  |          < 0.1  |           1  |
|  sun.reflect.generics.parser.SignatureParser.parseClassSignature() SignatureParser.java                                                                                    |        1    0%  |               1  |          < 0.1  |           1  |
|  com.yourkit.al.at.<init>(Class, String) a                                                                                                                                 |        1    0%  |             0.2  |          < 0.1  |           4  |
|  java.util.TreeMap.addEntryToEmptyMap(Object, Object) TreeMap.java                                                                                                         |        1    0%  |           < 0.1  |            0.6  |         284  |
|  java.security.SecureClassLoader$1.apply(Object) SecureClassLoader.java                                                                                                    |      0.9    0%  |             0.9  |          < 0.1  |           1  |
|  java.security.SecureClassLoader$1.apply(SecureClassLoader$CodeSourceKey) SecureClassLoader.java                                                                           |      0.9    0%  |             0.9  |          < 0.1  |           1  |
|  java.io.RandomAccessFile.readBytes(byte[], int, int) RandomAccessFile.java                                                                                                |      0.9    0%  |           < 0.1  |            0.3  |         153  |
|  javax.management.openmbean.SimpleType.equals(Object) SimpleType.java                                                                                                      |      0.9    0%  |               0  |            0.9  |       1,440  |
|  jdk.internal.misc.TerminatingThreadLocal.register(TerminatingThreadLocal) TerminatingThreadLocal.java                                                                     |      0.9    0%  |             0.4  |          < 0.1  |           2  |
|  deltablue.Strength.createStrengthConstants()                                                                                                                              |      0.9    0%  |             0.9  |            0.4  |           1  |
|  jdk.internal.reflect.MethodHandleObjectFieldAccessorImpl.fieldAccessor(Field, MethodHandle, MethodHandle, boolean) MethodHandleObjectFieldAccessorImpl.java               |      0.9    0%  |             0.4  |            0.3  |           2  |
|  sun.security.util.LazyCodeSourcePermissionCollection.add(Permission) LazyCodeSourcePermissionCollection.java                                                              |      0.9    0%  |             0.9  |          < 0.1  |           1  |
|  java.security.Permissions.add(Permission) Permissions.java                                                                                                                |      0.9    0%  |             0.9  |            0.5  |           1  |
|  com.yourkit.al.at.getDeclaredField(Class, String) a                                                                                                                       |      0.9    0%  |             0.2  |            0.9  |           4  |
|  sun.reflect.generics.parser.SignatureParser.parseFieldTypeSignature() SignatureParser.java                                                                                |      0.9    0%  |             0.1  |          < 0.1  |           6  |
|  jdk.internal.misc.TerminatingThreadLocal$1.initialValue() TerminatingThreadLocal.java                                                                                     |      0.9    0%  |             0.9  |          < 0.1  |           1  |
|  sun.reflect.generics.parser.SignatureParser.parseFieldTypeSignature(boolean) SignatureParser.java                                                                         |      0.9    0%  |             0.1  |          < 0.1  |           6  |
|  jdk.internal.misc.TerminatingThreadLocal$1.initialValue() TerminatingThreadLocal.java                                                                                     |      0.9    0%  |             0.9  |            0.6  |           1  |
|  java.util.TreeMap.keySet() TreeMap.java                                                                                                                                   |      0.9    0%  |           < 0.1  |            0.3  |         278  |
|  sun.nio.fs.UnixFileSystemProvider.getFileAttributeView(Path, Class, LinkOption[]) UnixFileSystemProvider.java                                                             |      0.9    0%  |             0.4  |            0.2  |           2  |
|  sun.reflect.generics.repository.MethodRepository.make(String, GenericsFactory) MethodRepository.java                                                                      |      0.8    0%  |             0.4  |          < 0.1  |           2  |
|  sun.reflect.generics.repository.MethodRepository.<init>(String, GenericsFactory) MethodRepository.java                                                                    |      0.8    0%  |             0.4  |          < 0.1  |           2  |
|  sun.reflect.generics.repository.ConstructorRepository.<init>(String, GenericsFactory) ConstructorRepository.java                                                          |      0.8    0%  |             0.4  |          < 0.1  |           2  |
|  sun.reflect.generics.parser.SignatureParser.skipIdentifier() SignatureParser.java                                                                                         |      0.8    0%  |           < 0.1  |            0.5  |          46  |
|  sun.reflect.generics.repository.ConstructorRepository.parse(String) ConstructorRepository.java                                                                            |      0.8    0%  |             0.4  |          < 0.1  |           2  |
|  sun.reflect.generics.repository.ConstructorRepository.parse(String) ConstructorRepository.java                                                                            |      0.8    0%  |             0.4  |          < 0.1  |           2  |
|  sun.reflect.generics.parser.SignatureParser.parseMethodSig(String) SignatureParser.java                                                                                   |      0.8    0%  |             0.4  |          < 0.1  |           2  |
|  sun.reflect.generics.parser.SignatureParser.parseMethodTypeSignature() SignatureParser.java                                                                               |      0.8    0%  |             0.4  |          < 0.1  |           2  |
|  java.lang.invoke.BoundMethodHandle$Species_LLL.copyWithExtendL(MethodType, LambdaForm, Object) java/lang/invoke/BoundMethodHandle$Species_LLL                             |      0.8    0%  |             0.1  |          < 0.1  |           6  |
|  java.util.zip.ZipFile$ZipFileInflaterInputStream.close() ZipFile.java                                                                                                     |      0.8    0%  |           < 0.1  |            0.2  |          41  |
|  java.util.jar.JarFile.<clinit>() JarFile.java                                                                                                                             |      0.8    0%  |             0.8  |            0.8  |           1  |
|  java.lang.invoke.BoundMethodHandle$Species_LLLL.make(MethodType, LambdaForm, Object, Object, Object, Object) java/lang/invoke/BoundMethodHandle$Species_LLLL              |      0.8    0%  |             0.1  |          < 0.1  |           7  |
|  java.util.zip.ZipFile$Source.getEntryPos(String, boolean) ZipFile.java                                                                                                    |      0.8    0%  |           < 0.1  |            0.3  |          80  |
|  java.lang.invoke.BoundMethodHandle$Species_LLLL.<init>(MethodType, LambdaForm, Object, Object, Object, Object) java/lang/invoke/BoundMethodHandle$Species_LLLL            |      0.7    0%  |             0.1  |            0.7  |           7  |
|  sun.reflect.generics.parser.SignatureParser.parseReturnType() SignatureParser.java                                                                                        |      0.7    0%  |             0.3  |          < 0.1  |           2  |
|  sun.reflect.generics.parser.SignatureParser.parseTypeSignature() SignatureParser.java                                                                                     |      0.7    0%  |             0.3  |          < 0.1  |           2  |
|  java.util.jar.Attributes.read(Manifest$FastInputStream, byte[], String, int) Attributes.java                                                                              |      0.7    0%  |             0.7  |          < 0.1  |           1  |
|  sun.reflect.generics.parser.SignatureParser.parseSuperInterfaces() SignatureParser.java                                                                                   |      0.7    0%  |             0.7  |          < 0.1  |           1  |
|  java.util.zip.Inflater.inflateBytesBytes(long, byte[], int, int, byte[], int, int) Inflater.java (native)                                                                 |      0.7    0%  |           < 0.1  |            0.6  |          70  |
|  sun.nio.fs.UnixFileAttributeViews.createBasicView(UnixPath, boolean) UnixFileAttributeViews.java                                                                          |      0.6    0%  |             0.3  |            0.6  |           2  |
|  java.util.TreeMap.getFirstEntry() TreeMap.java                                                                                                                            |      0.6    0%  |               0  |            0.6  |       1,048  |
|  sun.reflect.generics.parser.SignatureParser.parseTypeArguments() SignatureParser.java                                                                                     |      0.6    0%  |             0.1  |          < 0.1  |           4  |
|  java.lang.invoke.BoundMethodHandle$Species_LLLL.copyWithExtendL(MethodType, LambdaForm, Object) java/lang/invoke/BoundMethodHandle$Species_LLLL                           |      0.6    0%  |             0.1  |          < 0.1  |           5  |
|  sun.reflect.generics.parser.SignatureParser.parseTypeArgument() SignatureParser.java                                                                                      |      0.6    0%  |             0.1  |            0.3  |           5  |
|  java.lang.invoke.BoundMethodHandle$Species_LLLLL.make(MethodType, LambdaForm, Object, Object, Object, Object, Object) java/lang/invoke/BoundMethodHandle$Species_LLLLL    |      0.6    0%  |           < 0.1  |          < 0.1  |          10  |
|  com.sun.management.internal.GcInfoCompositeData$2.run() GcInfoCompositeData.java                                                                                          |      0.6    0%  |           < 0.1  |          < 0.1  |           8  |
|  java.io.RandomAccessFile.readBytes0(byte[], int, int) RandomAccessFile.java (native)                                                                                      |      0.6    0%  |           < 0.1  |            0.6  |         153  |
|  java.util.TreeMap$PrivateEntryIterator.<init>(TreeMap, TreeMap$Entry) TreeMap.java                                                                                        |      0.6    0%  |               0  |            0.6  |       1,024  |
|  java.lang.invoke.BoundMethodHandle$Species_LLLLL.<init>(MethodType, LambdaForm, Object, Object, Object, Object, Object) java/lang/invoke/BoundMethodHandle$Species_LLLLL  |      0.6    0%  |           < 0.1  |            0.6  |          10  |
|  com.sun.management.internal.GcInfoCompositeData$2.run() GcInfoCompositeData.java                                                                                          |      0.6    0%  |           < 0.1  |          < 0.1  |           8  |
|  java.util.stream.Nodes.builder(long, IntFunction) Nodes.java                                                                                                              |      0.6    0%  |             0.6  |            0.5  |           1  |
|  java.util.TreeMap.fixAfterInsertion(TreeMap$Entry) TreeMap.java                                                                                                           |      0.5    0%  |               0  |            0.5  |         626  |
|  sun.management.GarbageCollectorImpl.getObjectName() GarbageCollectorImpl.java                                                                                             |      0.5    0%  |           < 0.1  |          < 0.1  |           8  |
|  com.sun.management.internal.GarbageCollectionNotifInfoCompositeData.getCompositeTypeByBuilder() GarbageCollectionNotifInfoCompositeData.java                              |      0.5    0%  |           < 0.1  |            0.3  |           8  |
|  javax.management.openmbean.CompositeType.<init>(String, String, String[], String[], OpenType[]) CompositeType.java                                                        |      0.5    0%  |           < 0.1  |            0.1  |           6  |
|  java.util.TreeMap$KeySet.spliterator() TreeMap.java                                                                                                                       |      0.5    0%  |           < 0.1  |          < 0.1  |          24  |
|  java.util.Arrays$ArrayList.iterator() Arrays.java                                                                                                                         |      0.5    0%  |           < 0.1  |            0.3  |         240  |
|  java.util.jar.Attributes.putValue(String, String) Attributes.java                                                                                                         |      0.5    0%  |             0.1  |            0.2  |           3  |
|  javax.management.openmbean.SimpleType.isValue(Object) SimpleType.java                                                                                                     |      0.5    0%  |               0  |            0.5  |         704  |
|  sun.nio.fs.NativeBuffers.<clinit>() NativeBuffers.java                                                                                                                    |      0.5    0%  |             0.5  |            0.4  |           1  |
|  java.util.TreeMap$Entry.<init>(Object, Object, TreeMap$Entry) TreeMap.java                                                                                                |      0.5    0%  |               0  |            0.5  |         910  |
|  sun.management.Util.newObjectName(String, String) Util.java                                                                                                               |      0.5    0%  |           < 0.1  |          < 0.1  |           8  |
|  java.lang.ThreadLocal.createMap(Thread, Object) ThreadLocal.java                                                                                                          |      0.5    0%  |             0.5  |            0.4  |           1  |
|  java.util.Collections$UnmodifiableMap$UnmodifiableEntrySet$1.next() Collections.java                                                                                      |      0.5    0%  |           < 0.1  |            0.1  |         128  |
|  javax.management.openmbean.CompositeType.keySet() CompositeType.java                                                                                                      |      0.5    0%  |               0  |            0.5  |         776  |
|  java.util.TreeMap.keySpliteratorFor(NavigableMap) TreeMap.java                                                                                                            |      0.5    0%  |           < 0.1  |          < 0.1  |          24  |
|  com.sun.management.GarbageCollectionNotificationInfo.<init>(String, String, String, GcInfo) GarbageCollectionNotificationInfo.java                                        |      0.5    0%  |           < 0.1  |            0.5  |           8  |
|  java.util.concurrent.ConcurrentHashMap$ValueIterator.next() ConcurrentHashMap.java                                                                                        |      0.5    0%  |           < 0.1  |            0.3  |         214  |
|  java.util.stream.MatchOps.makeRef(Predicate, MatchOps$MatchKind) MatchOps.java                                                                                            |      0.5    0%  |           < 0.1  |            0.5  |          24  |
|  java.util.TreeMap.navigableKeySet() TreeMap.java                                                                                                                          |      0.5    0%  |           < 0.1  |            0.3  |         278  |
|  java.util.zip.ZipFile$InflaterCleanupAction.run() ZipFile.java                                                                                                            |      0.5    0%  |           < 0.1  |          < 0.1  |          41  |
|  java.util.TreeMap.keySpliterator() TreeMap.java                                                                                                                           |      0.5    0%  |           < 0.1  |            0.4  |          24  |
|  java.lang.Thread.exit() Thread.java                                                                                                                                       |      0.4    0%  |             0.2  |          < 0.1  |           2  |
|  com.sun.management.internal.GcInfoBuilder.getGcInfoCompositeType() GcInfoBuilder.java                                                                                     |      0.4    0%  |           < 0.1  |            0.1  |           9  |
|  com.sun.management.internal.GcInfoBuilder.<init>(GarbageCollectorMXBean, String[]) GcInfoBuilder.java                                                                     |      0.4    0%  |             0.4  |          < 0.1  |           1  |
|  sun.management.Util.newObjectName(String) Util.java                                                                                                                       |      0.4    0%  |           < 0.1  |          < 0.1  |           8  |
|  java.lang.invoke.MethodHandle$1.apply(Object) MethodHandle.java                                                                                                           |      0.4    0%  |             0.4  |          < 0.1  |           1  |
|  java.lang.invoke.MethodHandle$1.apply(LambdaForm) MethodHandle.java                                                                                                       |      0.4    0%  |             0.4  |            0.4  |           1  |
|  java.util.zip.ZipFile$CleanableResource.releaseInflater(Inflater) ZipFile.java                                                                                            |      0.4    0%  |           < 0.1  |            0.1  |          41  |
|  Run.<init>(String)                                                                                                                                                        |      0.4    0%  |             0.4  |          < 0.1  |           1  |
|  java.util.TreeMap$KeySet.size() TreeMap.java                                                                                                                              |      0.4    0%  |               0  |            0.4  |         544  |
|  jdk.internal.misc.TerminatingThreadLocal.threadTerminated() TerminatingThreadLocal.java                                                                                   |      0.4    0%  |             0.4  |          < 0.1  |           1  |
|  Run.getSuiteFromName(String)                                                                                                                                              |      0.4    0%  |             0.4  |            0.4  |           1  |
|  javax.management.ObjectName.getInstance(String) ObjectName.java                                                                                                           |      0.4    0%  |           < 0.1  |          < 0.1  |           8  |
|  java.util.concurrent.ConcurrentHashMap$ValuesView.iterator() ConcurrentHashMap.java                                                                                       |      0.4    0%  |           < 0.1  |          < 0.1  |          53  |
|  java.security.Permissions.getPermissionCollection(Permission, boolean) Permissions.java                                                                                   |      0.4    0%  |             0.4  |          < 0.1  |           1  |
|  java.util.zip.ZipFile$ZipFileInflaterInputStream.<init>(ZipFile, ZipFile$ZipFileInputStream, ZipFile$CleanableResource, Inflater, int) ZipFile.java                       |      0.4    0%  |           < 0.1  |            0.3  |          41  |
|  java.security.Permissions.createPermissionCollection(Permission, boolean) Permissions.java                                                                                |      0.4    0%  |             0.4  |          < 0.1  |           1  |
|  java.util.IdentityHashMap$KeySet.iterator() IdentityHashMap.java                                                                                                          |      0.3    0%  |             0.1  |            0.3  |           3  |
|  java.security.BasicPermission.newPermissionCollection() BasicPermission.java                                                                                              |      0.3    0%  |             0.3  |            0.3  |           1  |
|  sun.management.MappedMXBeanType.<clinit>() MappedMXBeanType.java                                                                                                          |      0.3    0%  |             0.1  |          < 0.1  |           2  |
|  java.io.RandomAccessFile.<clinit>() RandomAccessFile.java                                                                                                                 |      0.3    0%  |             0.3  |            0.2  |           1  |
|  java.util.zip.ZipFile$ZipFileInputStream.<init>(ZipFile, byte[], int) ZipFile.java                                                                                        |      0.3    0%  |           < 0.1  |            0.1  |          41  |
|  java.lang.invoke.BoundMethodHandle$Species_LJ.make(MethodType, LambdaForm, Object, long) java/lang/invoke/BoundMethodHandle$Species_LJ                                    |      0.3    0%  |             0.1  |          < 0.1  |           3  |
|  javax.management.ObjectName.<init>(String) ObjectName.java                                                                                                                |      0.3    0%  |           < 0.1  |          < 0.1  |           8  |
|  java.util.Collections$UnmodifiableRandomAccessList.<init>(List) Collections.java                                                                                          |      0.3    0%  |           < 0.1  |            0.2  |         129  |
|  java.lang.invoke.BoundMethodHandle$Species_LJ.<init>(MethodType, LambdaForm, Object, long) java/lang/invoke/BoundMethodHandle$Species_LJ                                  |      0.3    0%  |             0.1  |            0.3  |           3  |
|  java.lang.invoke.StringConcatFactory.prepender(Class) StringConcatFactory.java                                                                                            |      0.3    0%  |           < 0.1  |            0.3  |           9  |
|  java.util.logging.LogManager$Cleaner.run() LogManager.java                                                                                                                |      0.3    0%  |             0.3  |          < 0.1  |           1  |
|  sun.nio.fs.NativeBuffers.allocNativeBuffer(int) NativeBuffers.java                                                                                                        |      0.3    0%  |             0.3  |            0.2  |           1  |
|  sun.launcher.LauncherHelper.validateMainClass(Class) LauncherHelper.java                                                                                                  |      0.3    0%  |             0.3  |            0.2  |           1  |
|  java.util.zip.Inflater.reset() Inflater.java                                                                                                                              |      0.3    0%  |           < 0.1  |            0.1  |          41  |
|  java.nio.file.spi.FileSystemProvider.<clinit>() FileSystemProvider.java                                                                                                   |      0.3    0%  |             0.3  |            0.2  |           1  |
|  java.util.zip.Inflater.<init>(boolean) Inflater.java                                                                                                                      |      0.3    0%  |             0.3  |            0.1  |           1  |
|  sun.reflect.generics.visitor.Reifier.reifyTypeArguments(TypeArgument[]) Reifier.java                                                                                      |      0.3    0%  |             0.1  |          < 0.1  |           2  |
|  java.util.Collections$UnmodifiableMap$UnmodifiableEntrySet$1.next() Collections.java                                                                                      |      0.3    0%  |           < 0.1  |            0.2  |         128  |
|  java.io.RandomAccessFile.seek(long) RandomAccessFile.java                                                                                                                 |      0.3    0%  |           < 0.1  |            0.2  |          90  |
|  sun.nio.fs.UnixPath.<init>(UnixFileSystem, String) UnixPath.java                                                                                                          |      0.3    0%  |             0.1  |          < 0.1  |           3  |
|  javax.management.ObjectName.construct(String) ObjectName.java                                                                                                             |      0.3    0%  |           < 0.1  |          < 0.1  |           8  |
|  java.lang.invoke.StringConcatFactory.newArrayWithSuffix(String) StringConcatFactory.java                                                                                  |      0.3    0%  |           < 0.1  |            0.1  |           6  |
|  sun.nio.fs.UnixPath.normalizeAndCheck(String) UnixPath.java                                                                                                               |      0.3    0%  |           < 0.1  |            0.1  |           4  |
