Method list (CPU)

+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------+-----------------+------------------+-----------------+--------------+
|                                                                                   Method                                                                                   |    Time (ms)    |  Avg. Time (ms)  |  Own Time (ms)  |    Count     |
|  deltablue.Variable.<init>()                                                                                                                                               |    3,314    1%  |           < 0.1  |          2,248  |   1,800,030  |
|  deltablue.BinaryConstraint.addToGraph()                                                                                                                                   |    3,232    1%  |           < 0.1  |          1,146  |     600,000  |
|  som.Vector.<init>(int)                                                                                                                                                    |    3,125    1%  |               0  |          3,125  |   5,400,401  |
|  deltablue.ScaleConstraint.inputsDo(ForEachInterface)                                                                                                                      |    2,511    1%  |           < 0.1  |          1,480  |     600,020  |
|  deltablue.AbstractConstraint.lambda$satisfy$1(int, Variable)                                                                                                              |    2,377    1%  |               0  |          2,377  |   4,200,060  |
|  deltablue.Strength.stronger(Strength)                                                                                                                                     |    2,198    1%  |               0  |          2,198  |   3,600,110  |
|  deltablue.Planner.lambda$removePropagateFrom$4(Vector, AbstractConstraint)                                                                                                |    2,117    1%  |               0  |          2,117  |   3,600,070  |
|  deltablue.Planner.lambda$chainTest$7(int)                                                                                                                                 |    1,874    1%  |           < 0.1  |            740  |     600,010  |
|  deltablue.UnaryConstraint.addToGraph()                                                                                                                                    |    1,841    1%  |           < 0.1  |            752  |     600,060  |
|  som.Dictionary.getBucket(int)                                                                                                                                             |    1,084    0%  |               0  |          1,084  |   1,800,070  |
|  deltablue.AbstractConstraint.lambda$inputsKnown$0(int, Variable)                                                                                                          |    1,065    0%  |               0  |          1,065  |   1,800,020  |
|  som.Dictionary.hash(Dictionary$CustomHash)                                                                                                                                |    1,063    0%  |               0  |          1,063  |   1,800,086  |
|  deltablue.UnaryConstraint.chooseMethod(int)                                                                                                                               |    1,063    0%  |           < 0.1  |            726  |     600,120  |
|  deltablue.UnaryConstraint.recalculate()                                                                                                                                   |      366    0%  |               0  |            366  |     600,090  |
|  sun.launcher.LauncherHelper.checkAndLoadMain(boolean, int, String) LauncherHelper.java                                                                                    |      127    0%  |             127  |          < 0.1  |           1  |
|  sun.launcher.LauncherHelper.loadMainClass(int, String) LauncherHelper.java                                                                                                |      127    0%  |             127  |            0.8  |           1  |
|  jdk.internal.loader.URLClassPath$3.run() URLClassPath.java                                                                                                                |      121    0%  |              40  |          < 0.1  |           3  |
