Method list (CPU)

+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------+-----------------+------------------+-----------------+--------------+
|                                                                                   Method                                                                                   |    Time (ms)    |  Avg. Time (ms)  |  Own Time (ms)  |    Count     |
|  sun.management.MappedMXBeanType$MapMXBeanType.toOpenTypeData(Object) MappedMXBeanType.java                                                                                |       56    0%  |               4  |              1  |          12  |
|  javax.management.openmbean.CompositeDataSupport.<init>(CompositeType, String[], Object[]) CompositeDataSupport.java                                                       |       41    0%  |             0.2  |            0.5  |         204  |
|  javax.management.openmbean.CompositeDataSupport.<init>(SortedMap, CompositeType) CompositeDataSupport.java                                                                |       32    0%  |             0.1  |              5  |         204  |
|  deltablue.UnaryConstraint.removeFromGraph()                                                                                                                               |       27    0%  |             0.2  |            0.1  |         100  |
|  deltablue.Variable.removeConstraint(AbstractConstraint)                                                                                                                   |       26    0%  |             0.2  |            0.1  |         100  |
|  som.Vector.remove(Object)                                                                                                                                                 |       26    0%  |             0.2  |              2  |         100  |
|  javax.management.openmbean.CompositeType.isAssignableFrom(OpenType) CompositeType.java                                                                                    |       23    0%  |           < 0.1  |              4  |         342  |
|  javax.management.openmbean.CompositeType.isValue(Object) CompositeType.java                                                                                               |       22    0%  |             0.1  |            0.3  |         198  |
|  sun.management.MappedMXBeanType$CompositeDataMXBeanType.toOpenTypeData(Object) MappedMXBeanType.java                                                                      |       19    0%  |             0.2  |            0.4  |          96  |
|  sun.management.MemoryUsageCompositeData.toCompositeData(MemoryUsage) MemoryUsageCompositeData.java                                                                        |       18    0%  |             0.1  |            0.2  |          96  |
|  sun.management.MemoryUsageCompositeData.getCompositeData() MemoryUsageCompositeData.java                                                                                  |       18    0%  |             0.1  |            0.8  |          96  |
|  java.lang.invoke.StringConcatFactory.makeConcatWithConstants(MethodHandles$Lookup, String, MethodType, String, Object[]) StringConcatFactory.java                         |       17    0%  |               2  |            0.1  |           7  |
|  java.lang.invoke.StringConcatFactory.generateMHInlineCopy(MethodType, String[]) StringConcatFactory.java                                                                  |       17    0%  |               2  |              2  |           7  |
|  javax.management.openmbean.TabularDataSupport.put(CompositeData) TabularDataSupport.java                                                                                  |       16    0%  |             0.1  |            0.1  |          96  |
|  javax.management.openmbean.TabularDataSupport.internalPut(CompositeData) TabularDataSupport.java                                                                          |       16    0%  |             0.1  |            0.2  |          96  |
|  java.util.zip.ZipFile$Source.nextEntryPos(int, int, int) ZipFile.java                                                                                                     |       15    0%  |           < 0.1  |              9  |       4,648  |
|  javax.management.openmbean.TabularDataSupport.checkValueAndIndex(CompositeData) TabularDataSupport.java                                                                   |       15    0%  |             0.1  |            0.3  |          96  |
|  sun.management.NotificationEmitterSupport.sendNotification(Notification) NotificationEmitterSupport.java                                                                  |       13    0%  |               2  |            0.4  |           6  |
|  com.yourkit.al.av.invoke(Object, Object[]) a                                                                                                                              |       13    0%  |             0.3  |            0.1  |          36  |
|  com.sun.management.GarbageCollectionNotificationInfo.from(CompositeData) GarbageCollectionNotificationInfo.java                                                           |       13    0%  |               2  |          < 0.1  |           6  |
|  com.sun.management.GarbageCollectionNotificationInfo.<init>(CompositeData) GarbageCollectionNotificationInfo.java                                                         |       13    0%  |               2  |          < 0.1  |           6  |
|  javax.management.openmbean.TabularDataSupport.checkValueType(CompositeData) TabularDataSupport.java                                                                       |       12    0%  |             0.1  |            0.1  |          96  |
|  javax.management.openmbean.CompositeType.getType(String) CompositeType.java                                                                                               |       12    0%  |           < 0.1  |              4  |       3,126  |
|  java.util.zip.ZipCoder$UTF8ZipCoder.checkedHash(byte[], int, int) ZipCoder.java                                                                                           |       10    0%  |           < 0.1  |              7  |       4,648  |
|  Harness.processArguments(String[])                                                                                                                                        |       10    0%  |              10  |              3  |           1  |
|  java.util.TreeMap.get(Object) TreeMap.java                                                                                                                                |       10    0%  |           < 0.1  |              6  |       4,494  |
|  java.util.zip.ZipFile$Source.<clinit>() ZipFile.java                                                                                                                      |       10    0%  |              10  |            0.1  |           1  |
|  sun.nio.fs.DefaultFileSystemProvider.<clinit>() DefaultFileSystemProvider.java                                                                                            |       10    0%  |              10  |              2  |           1  |
|  java.util.TreeMap$KeyIterator.next() TreeMap.java                                                                                                                         |        9    0%  |           < 0.1  |              3  |       2,526  |
|  java.util.zip.ZipUtils.CENSIG(byte[], int) ZipUtils.java                                                                                                                  |        9    0%  |           < 0.1  |              6  |       4,648  |
|  com.sun.management.internal.GarbageCollectionNotifInfoCompositeData.getGcInfo(CompositeData) GarbageCollectionNotifInfoCompositeData.java                                 |        8    0%  |               1  |          < 0.1  |           6  |
|  com.sun.management.GcInfo.from(CompositeData) GcInfo.java                                                                                                                 |        8    0%  |               1  |          < 0.1  |           6  |
|  com.sun.management.GcInfo.<init>(CompositeData) GcInfo.java                                                                                                               |        8    0%  |               1  |          < 0.1  |           6  |
|  javax.management.openmbean.CompositeDataSupport.makeMap(String[], Object[]) CompositeDataSupport.java                                                                     |        7    0%  |           < 0.1  |              1  |         204  |
|  jdk.internal.loader.URLClassPath$JarLoader$2.getBytes() URLClassPath.java                                                                                                 |        7    0%  |             0.1  |            0.1  |          39  |
|  jdk.internal.loader.Resource.getBytes() Resource.java                                                                                                                     |        7    0%  |             0.1  |            0.3  |          39  |
|  sun.management.MappedMXBeanType$MapMXBeanType.toJavaTypeData(Object) MappedMXBeanType.java                                                                                |        7    0%  |             0.5  |            0.3  |          12  |
|  sun.nio.fs.LinuxFileSystemProvider.<init>() LinuxFileSystemProvider.java                                                                                                  |        6    0%  |               6  |          < 0.1  |           1  |
|  sun.nio.fs.UnixFileSystemProvider.<init>() UnixFileSystemProvider.java                                                                                                    |        6    0%  |               6  |          < 0.1  |           1  |
|  sun.nio.fs.LinuxFileSystemProvider.newFileSystem(String) LinuxFileSystemProvider.java                                                                                     |        6    0%  |               6  |          < 0.1  |           1  |
|  sun.nio.fs.LinuxFileSystemProvider.newFileSystem(String) LinuxFileSystemProvider.java                                                                                     |        6    0%  |               6  |              1  |           1  |
|  Run.reportBenchmark()                                                                                                                                                     |        6    0%  |               6  |            0.5  |           1  |
|  java.util.zip.InflaterInputStream.read(byte[], int, int) InflaterInputStream.java                                                                                         |        6    0%  |           < 0.1  |            0.5  |          71  |
|  java.lang.invoke.StringConcatFactory.filterAndFoldInMixers(MethodHandle, long, Class[]) StringConcatFactory.java                                                          |        6    0%  |               1  |          < 0.1  |           6  |
|  java.lang.invoke.StringConcatFactory.foldInLastMixers(MethodHandle, long, int, Class[], int) StringConcatFactory.java                                                     |        6    0%  |               1  |              2  |           6  |
|  java.util.zip.ZipUtils.CENCOM(byte[], int) ZipUtils.java                                                                                                                  |        6    0%  |               0  |              6  |       9,336  |
|  java.util.zip.ZipUtils.CENEXT(byte[], int) ZipUtils.java                                                                                                                  |        6    0%  |               0  |              6  |       9,336  |
|  jdk.internal.loader.URLClassPath$JarLoader.getResource(String, boolean) URLClassPath.java                                                                                 |        5    0%  |           < 0.1  |            0.2  |          78  |
|  Run.printResult(long)                                                                                                                                                     |        5    0%  |             0.5  |              1  |          10  |
|  java.io.RandomAccessFile.read(byte[], int, int) RandomAccessFile.java                                                                                                     |        5    0%  |           < 0.1  |              4  |         153  |
|  java.util.TreeMap$PrivateEntryIterator.nextEntry() TreeMap.java                                                                                                           |        5    0%  |           < 0.1  |              3  |       2,526  |
|  java.lang.invoke.StringConcatFactory.filterInPrependers(MethodHandle, String[], Class[]) StringConcatFactory.java                                                         |        5    0%  |             0.9  |            0.8  |           6  |
|  sun.management.LazyCompositeData.isTypeMatched(CompositeType, CompositeType) LazyCompositeData.java                                                                       |        5    0%  |           < 0.1  |              1  |         114  |
|  sun.nio.fs.LinuxFileSystem.<init>(UnixFileSystemProvider, String) LinuxFileSystem.java                                                                                    |        5    0%  |               5  |          < 0.1  |           1  |
|  sun.nio.fs.UnixFileSystem.<init>(UnixFileSystemProvider, String) UnixFileSystem.java                                                                                      |        5    0%  |               5  |              3  |           1  |
|  java.util.zip.ZipFile$Source.readFullyAt(byte[], int, int, long) ZipFile.java                                                                                             |        5    0%  |             0.1  |            0.2  |          49  |
|  deltablue.Strength.<clinit>()                                                                                                                                             |        5    0%  |               5  |            0.3  |           1  |
|  java.util.TreeMap$KeySet.iterator() TreeMap.java                                                                                                                          |        5    0%  |           < 0.1  |              1  |         768  |
|  java.util.TreeMap.getEntry(Object) TreeMap.java                                                                                                                           |        5    0%  |               0  |              5  |       6,628  |
|  sun.management.MappedMXBeanType$CompositeDataMXBeanType.toJavaTypeData(Object) MappedMXBeanType.java                                                                      |        5    0%  |           < 0.1  |            0.7  |          96  |
|  java.util.TreeMap.put(Object, Object) TreeMap.java                                                                                                                        |        5    0%  |           < 0.1  |              1  |         696  |
|  java.nio.file.Files.readAttributes(Path, Class, LinkOption[]) Files.java                                                                                                  |        4    0%  |               2  |          < 0.1  |           2  |
|  sun.nio.fs.LinuxFileSystemProvider.readAttributes(Path, Class, LinkOption[]) LinuxFileSystemProvider.java                                                                 |        4    0%  |               2  |          < 0.1  |           2  |
|  java.util.TreeMap.containsKey(Object) TreeMap.java                                                                                                                        |        4    0%  |           < 0.1  |              3  |       2,134  |
|  sun.nio.fs.UnixFileSystemProvider.readAttributes(Path, Class, LinkOption[]) UnixFileSystemProvider.java                                                                   |        4    0%  |               2  |            0.1  |           2  |
|  java.util.zip.ZipFile$ZipFileInflaterInputStream.fill() ZipFile.java                                                                                                      |        4    0%  |             0.1  |            0.1  |          41  |
|  javax.management.openmbean.CompositeDataSupport.get(String) CompositeDataSupport.java                                                                                     |        4    0%  |           < 0.1  |              1  |         726  |
|  java.io.RandomAccessFile.readFully(byte[], int, int) RandomAccessFile.java                                                                                                |        4    0%  |           < 0.1  |            0.1  |         112  |
|  java.util.zip.ZipFile$ZipFileInputStream.read(byte[], int, int) ZipFile.java                                                                                              |        4    0%  |             0.1  |            0.2  |          41  |
|  com.sun.management.GcInfo.<init>(GcInfoBuilder, long, long, long, MemoryUsage[], MemoryUsage[], Object[]) GcInfo.java                                                     |        4    0%  |             0.7  |          < 0.1  |           6  |
|  com.sun.management.internal.GcInfoCompositeData.<clinit>() GcInfoCompositeData.java                                                                                       |        4    0%  |               2  |          < 0.1  |           2  |
|  com.sun.management.internal.GarbageCollectionNotifInfoCompositeData.validateCompositeData(CompositeData) GarbageCollectionNotifInfoCompositeData.java                     |        4    0%  |             0.7  |          < 0.1  |           6  |
|  java.lang.management.MemoryUsage.from(CompositeData) MemoryUsage.java                                                                                                     |        4    0%  |           < 0.1  |            0.1  |          96  |
|  java.lang.management.MemoryUsage.<init>(CompositeData) MemoryUsage.java                                                                                                   |        4    0%  |           < 0.1  |            0.4  |          96  |
|  java.util.jar.JarFile.getJarEntry(String) JarFile.java                                                                                                                    |        4    0%  |           < 0.1  |            0.1  |          78  |
|  java.util.TreeMap.put(Object, Object, boolean) TreeMap.java                                                                                                               |        4    0%  |           < 0.1  |              1  |         696  |
|  java.util.TreeMap.keyIterator() TreeMap.java                                                                                                                              |        4    0%  |           < 0.1  |              1  |         768  |
|  java.lang.invoke.StringConcatFactory.prepender(int, String[], Class[], int) StringConcatFactory.java                                                                      |        4    0%  |             0.6  |            0.6  |           6  |
|  java.util.jar.JarFile.getEntry(String) JarFile.java                                                                                                                       |        3    0%  |           < 0.1  |            0.5  |          78  |
|  com.sun.management.internal.GcInfoCompositeData.getMemoryUsageBeforeGc(CompositeData) GcInfoCompositeData.java                                                            |        3    0%  |             0.6  |          < 0.1  |           6  |
|  java.lang.StringCoding.countPositives(byte[], int, int) StringCoding.java                                                                                                 |        3    0%  |               0  |              3  |       4,704  |
|  sun.management.MappedMXBeanType.getMappedType(Type) MappedMXBeanType.java                                                                                                 |        3    0%  |             0.4  |          < 0.1  |           8  |
|  sun.management.MappedMXBeanType.newMappedType(Type) MappedMXBeanType.java                                                                                                 |        3    0%  |               1  |            0.6  |           2  |
|  sun.nio.fs.UnixFileAttributeViews$Basic.readAttributes() UnixFileAttributeViews.java                                                                                      |        3    0%  |               1  |          < 0.1  |           2  |
|  java.util.zip.ZipFile.getInputStream(ZipEntry) ZipFile.java                                                                                                               |        3    0%  |           < 0.1  |              1  |          41  |
|  java.util.zip.ZipUtils.LG(byte[], int) ZipUtils.java                                                                                                                      |        3    0%  |               0  |              3  |       5,021  |
|  java.util.zip.ZipFile.getEntry(String) ZipFile.java                                                                                                                       |        3    0%  |           < 0.1  |            0.2  |          79  |
|  com.sun.management.internal.GcInfoCompositeData.getMemoryUsageAfterGc(CompositeData) GcInfoCompositeData.java                                                             |        3    0%  |             0.5  |          < 0.1  |           6  |
|  sun.management.MappedMXBeanType$MapMXBeanType.<init>(ParameterizedType) MappedMXBeanType.java                                                                             |        3    0%  |               3  |            0.1  |           1  |
|  sun.nio.fs.UnixFileAttributes.get(UnixPath, boolean) UnixFileAttributes.java                                                                                              |        3    0%  |               1  |          < 0.1  |           2  |
|  sun.nio.fs.UnixNativeDispatcher.stat(UnixPath, UnixFileAttributes) UnixNativeDispatcher.java                                                                              |        3    0%  |               1  |          < 0.1  |           2  |
|  deltablue.Strength.createStrengthTable()                                                                                                                                  |        3    0%  |               3  |              1  |           1  |
|  java.util.zip.ZipFile$Source.zipCoderForPos(int) ZipFile.java                                                                                                             |        3    0%  |               0  |              3  |       4,730  |
|  java.util.zip.ZipUtils.CENNAM(byte[], int) ZipUtils.java                                                                                                                  |        3    0%  |               0  |              3  |       4,730  |
|  java.util.zip.ZipUtils.CENHOW(byte[], int) ZipUtils.java                                                                                                                  |        3    0%  |               0  |              3  |       4,729  |
