Method list (CPU)

+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------+-----------------+------------------+-----------------+--------------+
|                                                                                   Method                                                                                   |    Time (ms)    |  Avg. Time (ms)  |  Own Time (ms)  |    Count     |
+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------+-----------------+------------------+-----------------+--------------+
|  Harness.main(String[])                                                                                                                                                    |  363,319   99%  |         363,319  |          < 0.1  |           1  |
|  Run.runBenchmark()                                                                                                                                                        |  363,307   99%  |         363,307  |            0.3  |           1  |
|  Run.doRuns(Benchmark)                                                                                                                                                     |  363,292   99%  |         363,292  |          < 0.1  |           1  |
|  Run.measure(Benchmark)                                                                                                                                                    |  363,292   99%  |          36,329  |          < 0.1  |          10  |
|  DeltaBlue.innerBenchmarkLoop(int)                                                                                                                                         |  363,286   99%  |          36,328  |              2  |          10  |
|  som.Vector.forEach(ForEachInterface)                                                                                                                                      |  235,928   65%  |           < 0.1  |         64,095  |  10,201,941  |
|  deltablue.Planner.chainTest(int)                                                                                                                                          |  232,156   64%  |          23,215  |            802  |          10  |
|  deltablue.Plan.execute()                                                                                                                                                  |  177,619   49%  |             126  |              4  |       1,400  |
|  deltablue.Plan.lambda$execute$0(AbstractConstraint)                                                                                                                       |  131,852   36%  |           < 0.1  |         88,813  |  72,001,600  |
|  deltablue.Planner.projectionTest(int)                                                                                                                                     |  131,123   36%  |          13,112  |          1,982  |          10  |
|  deltablue.AbstractConstraint.addConstraint(Planner)                                                                                                                       |   93,385   26%  |           < 0.1  |          3,490  |   1,800,060  |
|  deltablue.Planner.incrementalAdd(AbstractConstraint)                                                                                                                      |   92,015   25%  |           < 0.1  |          3,374  |   1,800,090  |
|  deltablue.AbstractConstraint.satisfy(int, Planner)                                                                                                                        |   88,640   24%  |           < 0.1  |          8,897  |   3,600,140  |
|  deltablue.Planner.change(Variable, int)                                                                                                                                   |   79,429   22%  |           1,985  |              1  |          40  |
|  deltablue.Planner.addPropagate(AbstractConstraint, int)                                                                                                                   |   64,525   18%  |           < 0.1  |         13,719  |   3,600,110  |
|  deltablue.UnaryConstraint.<init>(Variable, Strength$Sym, Planner)                                                                                                         |   56,621   16%  |           < 0.1  |          1,114  |     600,060  |
|  deltablue.AbstractConstraint.destroyConstraint(Planner)                                                                                                                   |   45,175   12%  |             903  |            0.2  |          50  |
|  deltablue.Planner.incrementalRemove(AbstractConstraint)                                                                                                                   |   45,161   12%  |             903  |              1  |          50  |
|  deltablue.EqualityConstraint.execute()                                                                                                                                    |   37,346   10%  |               0  |         37,346  |  62,400,000  |
|  deltablue.Planner.removePropagateFrom(Variable)                                                                                                                           |   31,608    9%  |             632  |          3,595  |          50  |
|  deltablue.StayConstraint.<init>(Variable, Strength$Sym, Planner)                                                                                                          |   31,075    9%  |           < 0.1  |            736  |     600,010  |
|  deltablue.Planner.addConstraintsConsumingTo(Variable, Vector)                                                                                                             |   30,462    8%  |           < 0.1  |          8,485  |   6,600,200  |
|  deltablue.ScaleConstraint.<init>(Variable, Variable, Variable, Variable, Strength$Sym, Planner)                                                                           |   28,062    8%  |           < 0.1  |          1,159  |     600,000  |
|  deltablue.EditConstraint.<init>(Variable, Strength$Sym, Planner)                                                                                                          |   26,283    7%  |             525  |            0.1  |          50  |
|  deltablue.EqualityConstraint.<init>(Variable, Variable, Strength$Sym, Planner)                                                                                            |   23,547    6%  |           < 0.1  |          1,089  |     600,000  |
|  deltablue.Planner.extractPlanFromConstraints(Vector)                                                                                                                      |   22,747    6%  |             454  |            0.8  |          50  |
|  deltablue.Planner.makePlan(Vector)                                                                                                                                        |   22,746    6%  |             454  |          4,733  |          50  |
|  deltablue.Planner.constraintsConsuming(Variable, ForEachInterface)                                                                                                        |   21,326    6%  |           < 0.1  |          2,267  |   1,800,070  |
|  deltablue.Planner.lambda$constraintsConsuming$3(AbstractConstraint, ForEachInterface, AbstractConstraint)                                                                 |   15,587    4%  |           < 0.1  |          3,303  |   3,600,070  |
|  deltablue.Planner.lambda$incrementalRemove$0(AbstractConstraint)                                                                                                          |   13,538    4%  |             451  |          < 0.1  |          30  |
|  deltablue.BinaryConstraint.recalculate()                                                                                                                                  |   12,409    3%  |           < 0.1  |          5,289  |   3,000,000  |
|  deltablue.Planner.lambda$removePropagateFrom$5(Vector, AbstractConstraint)                                                                                                |   12,284    3%  |           < 0.1  |          3,391  |   1,800,020  |
|  deltablue.ScaleConstraint.recalculate()                                                                                                                                   |   11,560    3%  |           < 0.1  |          4,992  |   3,000,060  |
|  som.Vector.with(Object)                                                                                                                                                   |   11,084    3%  |           < 0.1  |          6,794  |   3,600,210  |
|  deltablue.Strength.weakest(Strength)                                                                                                                                      |   11,020    3%  |           < 0.1  |          7,511  |   6,000,060  |
|  deltablue.Planner.lambda$addConstraintsConsumingTo$2(AbstractConstraint, Vector, AbstractConstraint)                                                                      |   10,617    3%  |               0  |          8,829  |  11,400,320  |
|  deltablue.AbstractConstraint.<init>(Strength$Sym)                                                                                                                         |   10,056    3%  |           < 0.1  |          2,291  |   1,800,060  |
|  som.Vector.append(Object)                                                                                                                                                 |    8,943    2%  |               0  |          8,943  |  15,000,488  |
|  deltablue.ScaleConstraint.execute()                                                                                                                                       |    8,359    2%  |               0  |          8,359  |  13,800,240  |
|  deltablue.BinaryConstraint.<init>(Variable, Variable, Strength$Sym, Planner)                                                                                              |    8,130    2%  |           < 0.1  |          1,427  |   1,200,000  |
|  deltablue.Strength.of(Strength$Sym)                                                                                                                                       |    7,765    2%  |           < 0.1  |          2,238  |   1,800,062  |
|  deltablue.Variable.addConstraint(AbstractConstraint)                                                                                                                      |    7,604    2%  |           < 0.1  |          5,130  |   4,200,060  |
|  deltablue.BinaryConstraint.chooseMethod(int)                                                                                                                              |    6,980    2%  |           < 0.1  |          4,393  |   3,000,020  |
|  deltablue.ScaleConstraint.addToGraph()                                                                                                                                    |    6,289    2%  |           < 0.1  |          1,897  |     600,000  |
|  deltablue.AbstractConstraint.inputsKnown(int)                                                                                                                             |    5,647    2%  |           < 0.1  |          2,241  |   1,800,070  |
|  som.Dictionary.at(Dictionary$CustomHash)                                                                                                                                  |    5,526    2%  |           < 0.1  |          3,345  |   1,800,070  |
|  som.Vector.removeFirst()                                                                                                                                                  |    5,072    1%  |               0  |          5,072  |   8,400,270  |
|  deltablue.BinaryConstraint.inputsDo(ForEachInterface)                                                                                                                     |    4,555    1%  |           < 0.1  |          3,179  |   2,400,000  |
|  deltablue.Strength.weaker(Strength)                                                                                                                                       |    4,217    1%  |               0  |          4,217  |   7,200,060  |
|  deltablue.Variable.value(int)                                                                                                                                             |    3,726    1%  |           < 0.1  |          1,506  |   1,200,020  |
|  deltablue.BinaryConstraint.inputsHasOne(TestInterface)                                                                                                                    |    3,405    1%  |           < 0.1  |          2,291  |   1,800,020  |
|  deltablue.Variable.<init>()                                                                                                                                               |    3,378    1%  |           < 0.1  |          2,286  |   1,800,030  |
|  deltablue.BinaryConstraint.addToGraph()                                                                                                                                   |    3,266    1%  |           < 0.1  |          1,156  |     600,000  |
|  som.Vector.<init>(int)                                                                                                                                                    |    3,199    1%  |               0  |          3,199  |   5,400,401  |
|  deltablue.ScaleConstraint.inputsDo(ForEachInterface)                                                                                                                      |    2,591    1%  |           < 0.1  |          1,535  |     600,020  |
|  deltablue.AbstractConstraint.lambda$satisfy$1(int, Variable)                                                                                                              |    2,431    1%  |               0  |          2,431  |   4,200,060  |
|  deltablue.Strength.stronger(Strength)                                                                                                                                     |    2,222    1%  |               0  |          2,222  |   3,600,110  |
|  deltablue.Planner.lambda$removePropagateFrom$4(Vector, AbstractConstraint)                                                                                                |    2,135    1%  |               0  |          2,135  |   3,600,070  |
|  deltablue.Planner.lambda$chainTest$7(int)                                                                                                                                 |    1,905    1%  |           < 0.1  |            746  |     600,010  |
|  deltablue.UnaryConstraint.addToGraph()                                                                                                                                    |    1,861    1%  |           < 0.1  |            759  |     600,060  |
|  deltablue.AbstractConstraint.lambda$inputsKnown$0(int, Variable)                                                                                                          |    1,113    0%  |               0  |          1,113  |   1,800,020  |
|  som.Dictionary.getBucket(int)                                                                                                                                             |    1,104    0%  |               0  |          1,104  |   1,800,070  |
|  deltablue.UnaryConstraint.chooseMethod(int)                                                                                                                               |    1,089    0%  |           < 0.1  |            744  |     600,120  |
|  som.Dictionary.hash(Dictionary$CustomHash)                                                                                                                                |    1,076    0%  |               0  |          1,076  |   1,800,086  |
|  deltablue.UnaryConstraint.recalculate()                                                                                                                                   |      387    0%  |               0  |            387  |     600,090  |
|  sun.launcher.LauncherHelper.checkAndLoadMain(boolean, int, String) LauncherHelper.java                                                                                    |      134    0%  |             134  |          < 0.1  |           1  |
|  sun.launcher.LauncherHelper.loadMainClass(int, String) LauncherHelper.java                                                                                                |      134    0%  |             134  |            0.8  |           1  |
|  jdk.internal.loader.URLClassPath$3.run() URLClassPath.java                                                                                                                |      128    0%  |              42  |          < 0.1  |           3  |
|  jdk.internal.loader.URLClassPath$3.run() URLClassPath.java                                                                                                                |      128    0%  |              42  |              1  |           3  |
|  jdk.internal.loader.URLClassPath$JarLoader.<init>(URL, URLStreamHandler, HashMap, AccessControlContext) URLClassPath.java                                                 |      126    0%  |              63  |          < 0.1  |           2  |
|  jdk.internal.loader.URLClassPath$JarLoader.ensureOpen() URLClassPath.java                                                                                                 |      126    0%  |               1  |            0.2  |          82  |
|  jdk.internal.loader.URLClassPath$JarLoader$1.run() URLClassPath.java                                                                                                      |      126    0%  |              63  |          < 0.1  |           2  |
|  jdk.internal.loader.URLClassPath$JarLoader$1.run() URLClassPath.java                                                                                                      |      126    0%  |              63  |          < 0.1  |           2  |
|  jdk.internal.loader.URLClassPath$JarLoader.getJarFile(URL) URLClassPath.java                                                                                              |      126    0%  |              63  |            0.9  |           2  |
|  java.util.jar.JarFile.<init>(File, boolean, int, Runtime$Version) JarFile.java                                                                                            |      124    0%  |              62  |          < 0.1  |           2  |
|  java.util.zip.ZipFile.<init>(File, int) ZipFile.java                                                                                                                      |      124    0%  |              62  |          < 0.1  |           2  |
|  java.util.zip.ZipFile.<init>(File, int, Charset) ZipFile.java                                                                                                             |      124    0%  |              62  |            0.5  |           2  |
|  java.util.zip.ZipFile$CleanableResource.<init>(ZipFile, ZipCoder, File, int) ZipFile.java                                                                                 |      123    0%  |              61  |              2  |           2  |
|  java.util.zip.ZipFile$Source.get(File, boolean, ZipCoder) ZipFile.java                                                                                                    |      111    0%  |              55  |              2  |           2  |
|  java.util.zip.ZipFile$Source.<init>(ZipFile$Source$Key, boolean, ZipCoder) ZipFile.java                                                                                   |      103    0%  |              51  |              1  |           2  |
|  java.util.zip.ZipFile$Source.initCEN(int) ZipFile.java                                                                                                                    |       99    0%  |              49  |             10  |           2  |
|  com.sun.management.internal.GarbageCollectorExtImpl.createGCNotification(long, String, String, String, GcInfo) GarbageCollectorExtImpl.java                               |       80    0%  |              13  |            0.1  |           6  |
|  java.util.zip.ZipFile$Source.checkAndAddEntry(int, int) ZipFile.java                                                                                                      |       67    0%  |           < 0.1  |             29  |       4,648  |
|  com.sun.management.internal.GarbageCollectionNotifInfoCompositeData.toCompositeData(GarbageCollectionNotificationInfo) GarbageCollectionNotifInfoCompositeData.java       |       65    0%  |              10  |          < 0.1  |           6  |
|  com.sun.management.internal.GarbageCollectionNotifInfoCompositeData.getCompositeData() GarbageCollectionNotifInfoCompositeData.java                                       |       65    0%  |              10  |          < 0.1  |           6  |
|  com.sun.management.internal.GcInfoCompositeData.toCompositeData(GcInfo) GcInfoCompositeData.java                                                                          |       62    0%  |              10  |            0.5  |           6  |
|  com.sun.management.internal.GcInfoCompositeData.getCompositeData() GcInfoCompositeData.java                                                                               |       60    0%  |              10  |            0.1  |           6  |
