name,opcode,ops
MOVHLPS,12,1
MOVMSKPS,50,1
PMOVSXB/DW,,2
PMOVSXQ,,2
PMOVZXB/DW,,2
PMOVZXQ,,2
PMOVZXBQ/DQ,,2
PMOVZXBW,30,2
PMULHRSW,0B,2
PMADDWD,F5,2
PMULH/W/DQ,,2
PMULULQ,,2
VPALIGNR,0F,2
PCLMULQDQ,44,1
VBROADCASTI128,5A,2
BEXTR,10,2
CMOVL,ADDED,7
CMOVB,ADDED,7
CMOVZ,ADDED,7
CMOVG,ADDED,7
JBE,ADDED,1
JA,ADDED,1
JZ,ADDED,1
JNZ,ADDED,1
JL,ADDED,1
JGE,ADDED,1
JAE,ADDED,1
MOVZX,ADDED,1
SETGE,ADDED,1
SETNZ,ADDED,1
MOVZX,ADDED,1
MOVSX,ADDED,1
MOVSXD,ADDED,1
VZEROUPPER,ADDED,1
JB,ADDED,1
JG,ADDED,1
JLE,ADDED,1
JP,ADDED,1
SETZ,ADDED,1
SETL,ADDED,1
REP,ADDED,3
VPHADDD,ADDED,3
VMOVSD,ADDED,1
VPXOR,ADDED,6
VMOVD,ADDED,1
VMOVQ,ADDED,1
VPMULLD,ADDED,1
VPMOVZXBD,ADDED,2
VPADDD,ADDED,1
RETF,ADDED,2
LOCK,ADDED,2
SETLE,ADDED,2
LOCK,ADDED,2
SETLE,ADDED,1
SETG,ADDED,1
VBLENDVPD,ADDED,1
VCVTTSD2SI,ADDED,2
VMOVSS,ADDED,1
VMULSD,ADDED,1
VSQRTSD,ADDED,1
VPEXTRW,ADDED,2
VXORPD,ADDED,1
VPOR,ADDED,1
VPSRLQ,ADDED,1
VRCPPS,ADDED,1
VPSLLQ,ADDED,1
VMULSS,ADDED,1
VPAND,ADDED,1
VCVTSI2SD,ADDED,2
VMULPD,ADDED,1
VMULSD,ADDED,1
VSUBSD,ADDED,1
VUNPCKLPD,ADDED,1
VADDSD,ADDED,1
VADDPD,ADDED,1
VPSHUFD,ADDED,1
VPINSRW,ADDED,2
CLI,ADDED,3
OUTSD,ADDED,78
REPNE,ADDED,40
CMOVNP,ADDED,1
CMOVP,ADDED,1
